session,file,sha256,n_rows,n_strikes,first_ts,last_ts,n_settlement_bars,oi_lot,oi_units,source,fetched_on
2024-02-22,2024-02-22_chain.parquet,b2fbcbd843f16eb88e5c3e244c8452019c7f0bb2c9e1a25b127fbba0bfaae2d5,36207,53,2024-02-22 09:15:00+05:30,2024-02-22 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-02-29,2024-02-29_chain.parquet,d4cd8599bda749b71e0b96232cdcf52fb2f9c39f0d04eb940fc11ad51e159ca1,38832,53,2024-02-29 09:15:00+05:30,2024-02-29 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-03-07,2024-03-07_chain.parquet,ed3a4617da881dcfeda31e83bc0d22d898610ea8b23a370e907599591475991c,37434,54,2024-03-07 09:15:00+05:30,2024-03-07 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-03-14,2024-03-14_chain.parquet,2df5ce3ec91732c1d60a9a2bf45f7e63bc97aff19acd46c7206fa400819d9644,37467,53,2024-03-14 09:15:00+05:30,2024-03-14 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-03-21,2024-03-21_chain.parquet,e725e8c97cee6f38d5544dd33f9ecb7c3b36a97da54cb6e3d4904e6e8ce129d9,36634,53,2024-03-21 09:15:00+05:30,2024-03-21 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-03-28,2024-03-28_chain.parquet,6a370c6b6b1f116359a36ad6fc79797e882bcc37c852d3ae5b741c799eb502da,37107,53,2024-03-28 09:15:00+05:30,2024-03-28 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-04-04,2024-04-04_chain.parquet,241ece4d059efc6256f30e55b0855536ae4e481ba90a06a1ac414f3d2181ac59,35828,54,2024-04-04 09:15:00+05:30,2024-04-04 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-04-10,2024-04-10_chain.parquet,f78737cefb3cf74726f6361d93174edb2f4f43ef1aeb67349b02c742d99330ff,36056,54,2024-04-10 09:15:00+05:30,2024-04-10 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-04-18,2024-04-18_chain.parquet,7011243acb855ae6a794633ce22f9e43d5bab325ea814ec901b65b158d691e00,39650,54,2024-04-18 09:15:00+05:30,2024-04-18 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-04-25,2024-04-25_chain.parquet,92b75a8a1c3f2fd521219e73ca699a580d945739b590d3d2b40f367c72d25d2f,39100,53,2024-04-25 09:15:00+05:30,2024-04-25 15:29:00+05:30,30,50,lot_multiplied,upstox-v3-historical-candle,
2024-05-02,2024-05-02_chain.parquet,6142b37a26d0275909a91a064c54e14af78816b56787d3e3d4f6a10caa9947f9,37842,54,2024-05-02 09:15:00+05:30,2024-05-02 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-05-09,2024-05-09_chain.parquet,a1c51ebc02cb39147d2680e4c69c496914ddb337ec4699e3195411d5e69d8fc0,38637,54,2024-05-09 09:15:00+05:30,2024-05-09 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-05-16,2024-05-16_chain.parquet,4a2dc1c56e8347e48fb780beb259a85d6384d4f71cbca09b9b21334258fe38fd,38635,54,2024-05-16 09:15:00+05:30,2024-05-16 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-05-23,2024-05-23_chain.parquet,1ae32d25ea4af706c3463b9a3c0e68668877424008b2e15a104ae79089a53960,39178,54,2024-05-23 09:15:00+05:30,2024-05-23 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-05-30,2024-05-30_chain.parquet,1c5ab0bacbae6897247ce02acef8c7699f916a363d88e95e83683edff6c2f9ee,39862,55,2024-05-30 09:15:00+05:30,2024-05-30 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-06-06,2024-06-06_chain.parquet,81582aafc7f0b886c98bd7d9080d791db5f7743d5117bcc912d55cabeddb53cc,40585,55,2024-06-06 09:15:00+05:30,2024-06-06 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-06-13,2024-06-13_chain.parquet,59d11faa28439a9958a2ecf5ca979cb4a1dbfdef1eacbd52a6a7cb855844eaec,40493,57,2024-06-13 09:15:00+05:30,2024-06-13 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-06-20,2024-06-20_chain.parquet,e6d5bb72c27c560bfff88546666b5fa6b5e2f1b8a0e1204b4097542b462f2244,41108,57,2024-06-20 09:15:00+05:30,2024-06-20 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-06-27,2024-06-27_chain.parquet,079a88d5a1391261f5678a8d4a2f031f724d94b15398e842af3217bd3f6a40da,41996,57,2024-06-27 09:15:00+05:30,2024-06-27 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-07-04,2024-07-04_chain.parquet,4cab5cf0fa12b2809085e5427c9c1d9065c827f3f3aa4119e803323cf16601be,40457,59,2024-07-04 09:15:00+05:30,2024-07-04 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-07-11,2024-07-11_chain.parquet,a6c3a0ef902f1605844a793148a509e7a14d9cb0739264e1edac989e37ab63c5,40540,59,2024-07-11 09:15:00+05:30,2024-07-11 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-07-18,2024-07-18_chain.parquet,aaadad5db8990ee8d911c22f2a517736d61b93b08bfc94722c57517e3e57b62f,41318,59,2024-07-18 09:15:00+05:30,2024-07-18 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-07-25,2024-07-25_chain.parquet,efdc4dc6adcdfa69084802ef0fd2da47e32d99fade2c239c333ab2a419e3b3b1,42509,58,2024-07-25 09:15:00+05:30,2024-07-25 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-08-01,2024-08-01_chain.parquet,b8f656a2d911acb40efdde41de04db5316ad3a130e28c25adac3f1183374bb7b,41461,60,2024-08-01 09:15:00+05:30,2024-08-01 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-08-08,2024-08-08_chain.parquet,39a752cc853edb8bcf3d14f31d99512ce0c6c15bde102e65472a180102ce3407,42407,58,2024-08-08 09:15:00+05:30,2024-08-08 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-08-14,2024-08-14_chain.parquet,2469eb51c599decdc880ae6c5d2bc14dc1ff5d8d6ccbd5dad226f0114904c5ef,41309,58,2024-08-14 09:15:00+05:30,2024-08-14 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-08-22,2024-08-22_chain.parquet,a330a1e5018aa61f583f3ef88872b0a5a848b75262df6d8eab13b8d7bf3e1c59,40634,59,2024-08-22 09:15:00+05:30,2024-08-22 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
2024-08-29,2024-08-29_chain.parquet,176f1786700bd93d683a3c62b005d0c39c8d30e8b8f7fa9414c37bc7b5267cab,42420,60,2024-08-29 09:15:00+05:30,2024-08-29 15:29:00+05:30,30,25,lot_multiplied,upstox-v3-historical-candle,
